Tested Method,Magic Literal,Redundant Print,Duplicated Assert,Assertion Roulette,Unknown Test,Empty Test,Number of Exceptions,Number of Conditionals
test_3d_extensions_case_insensitive,1,0,No,No,No,No,0,0
test_3d_extensions_previewable,1,0,No,No,No,No,0,1
test_3d_files_previewable,0,0,No,No,No,No,0,1
test_all_contains_all_statuses,1,0,No,Yes,No,No,0,0
test_async_caching_behavior,0,0,No,Yes,No,No,0,1
test_async_cancellation,0,0,No,No,Yes,No,0,0
test_async_check_lazy_status,0,0,No,No,No,No,0,0
test_async_execution_error,1,0,No,Yes,No,No,1,0
test_async_lazy_evaluation,0,0,No,Yes,No,No,0,1
test_async_progress_update_executes,1,0,No,Yes,No,No,0,0
test_async_resource_cleanup,0,0,No,Yes,No,No,0,3
test_async_timeout_handling,1,0,No,Yes,No,No,1,0
test_async_validate_inputs,0,0,No,No,No,No,0,0
test_async_validation_error,1,0,No,No,No,No,0,0
test_async_with_dependencies,1,0,No,Yes,No,No,0,0
test_async_with_dynamic_prompts,0,0,No,Yes,No,No,0,1
test_async_with_execution_blocker,1,0,No,No,No,No,0,0
test_audio_format_previewable,1,0,No,No,No,No,0,0
test_basic_async_execution,1,0,No,Yes,No,No,0,0
test_basic_normalization,10,0,No,Yes,No,No,0,0
test_cancelled_job,4,0,No,Yes,No,No,0,0
test_completed_job,6,0,No,Yes,No,No,0,0
test_concurrent_async_error_recovery,0,0,No,No,No,No,1,0
test_counts_across_multiple_nodes,1,0,No,No,No,No,0,0
test_custom_is_changed,0,0,No,Yes,No,No,0,1
test_cycle_error,0,0,No,No,Yes,No,0,0
test_dynamic_cycle_error,1,0,No,Yes,No,No,1,0
test_empty_outputs,1,0,No,Yes,No,No,0,0
test_error,1,0,No,Yes,No,No,1,0
test_execution_block_list_output,1,0,No,Yes,No,No,0,0
test_execution_without_preview_method,1,0,No,Yes,No,No,0,1
test_execution_with_default,1,0,No,Yes,No,No,0,1
test_execution_with_latent2rgb,1,0,No,Yes,No,No,0,1
test_execution_with_none_preview,2,0,No,Yes,No,No,0,1
test_execution_with_taesd,1,0,No,Yes,No,No,0,1
test_failed_job,6,0,No,Yes,No,No,0,0
test_format_mime_type_previewable,0,0,No,No,No,No,0,1
test_for_loop,0,0,No,Yes,No,No,0,1
test_full_cache,0,0,No,Yes,No,No,0,2
test_get_job_by_id,1,0,No,Yes,No,No,0,0
test_get_job_not_found,0,0,No,No,No,No,0,0
test_include_outputs,15,0,No,Yes,No,No,0,0
test_is_changed_with_outputs,2,0,Yes,Yes,No,No,0,1
test_jobs_api_job_structure,6,0,No,Yes,No,No,0,0
test_jobs_api_pagination,2,0,No,Yes,No,No,0,1
test_jobs_api_preview_output_structure,3,0,No,Yes,No,No,0,1
test_jobs_api_sorting,0,0,No,No,No,No,0,4
test_jobs_api_status_filter,3,0,No,No,No,No,0,2
test_lazy_input,1,0,No,Yes,No,No,0,0
test_missing_node_error,0,0,No,No,Yes,No,0,0
test_mixed_expansion_returns,2,0,No,Yes,No,No,0,1
test_mixed_lazy_results,1,0,No,Yes,No,No,0,0
